Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-34050,34050,34050,10.06,0.72,9.6453,255.7419,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.41,0.72,9.8441,255.71,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.64,0.74,9.8941,255.7018,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.62,0.82,9.2797,255.7818,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.99,0.82,9.52,255.7556,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.3,0.82,9.8444,255.7049,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.46,0.87,9.5573,255.751,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.13,0.87,9.8356,255.7094,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.74,0.97,9.5148,255.7518,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.7,1.12,9.5201,255.7561,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.13,1.12,9.8417,255.7111,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.98,1.12,9.8488,255.7066,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.69,1.17,9.8453,255.7084,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.43,1.34,9.5289,255.7375,Volcanic,,,,,,,,,,,,
-34050,34050,34050,4.72,-999,9.5135,255.7339,Volcanic,,,,,,,,,,,,
-34050,34050,34050,1.64,-999,9.522,255.7697,Volcanic,,,,,,,,,,,,
-34050,34050,34050,2.96,-999,9.5224,255.7709,Volcanic,,,,,,,,,,,,
-34050,34050,34050,1.91,-999,9.5276,255.7881,Volcanic,,,,,,,,,,,,
-34050,34050,34050,12.38,-999,9.5304,255.7548,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.28,-999,9.5305,255.7704,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.87,-999,9.5308,255.7605,Volcanic,,,,,,,,,,,,
-34050,34050,34050,6.56,-999,9.5309,255.7654,Volcanic,,,,,,,,,,,,
-34050,34050,34050,5.12,-999,9.5309,255.7654,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.3,-999,9.6027,255.7498,Volcanic,,,,,,,,,,,,
-34050,34050,34050,5.14,-999,9.6181,255.7441,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.53,-999,9.7705,255.719,Volcanic,,,,,,,,,,,,
-34050,4000,4000,3.17,0.93,-33.73,143.05,Archeo,,,,,,,,,,,,
-34050,34050,34050,7.52,-999,9.7925,255.7164,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.61,-999,9.8154,255.7118,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.13,-999,9.8155,255.698,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.94,-999,9.82,255.6903,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.08,-999,9.8232,255.7112,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.48,-999,9.8266,255.7034,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.38,-999,9.8301,255.7109,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.74,-999,9.8303,255.7103,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.18,-999,9.8318,255.7098,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.09,-999,9.8318,255.7098,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.46,-999,9.832,255.7099,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.09,-999,9.837,255.71,Volcanic,,,,,,,,,,,,
